break silence	wsj_1279_1:12_17
take the hint	wsj_0090_26:3_4_5
stay the course	wsj_0303_5:16_17_18
fall flat	wsj_0804_37:3_4
follow suit	wsj_2111_18:6_7
follow suit	wsj_0293_18:3_4
follow suit	wsj_0455_7:15_16
follow suit	wsj_0968_11:26_27
follow suit	wsj_1669_1:33_34
follow suit	wsj_2394_5:27_28
follow suit	wsj_1586_25:20_21
attract attention	wsj_1603_18:13_15
attract attention	wsj_0756_4:17_19
attract attention	wsj_0741_0:35_37
attract attention	wsj_1464_34:27_29
fall asleep	wsj_1618_41:2_3
fall asleep	wsj_0999_47:13_14
set up shop	wsj_0300_4:23_24_25
set up shop	wsj_1373_22:6_7_8
set up shop	wsj_1092_8:10_11_12
set up shop	wsj_1688_34:4_5_6
set up shop	wsj_1700_22:23_24_25
get into trouble	wsj_1996_8:2_3_5
get into trouble	wsj_1506_25:29_30_32
get into trouble	wsj_1376_22:14_16_17
get into trouble	wsj_0666_3:6_7_8
test drive	wsj_1377_58:12_14
test drive	wsj_0116_32:3_5
take part	wsj_0931_10:31_32
take part	wsj_1368_5:14_15
take part	wsj_0592_27:10_11
take part	wsj_2040_41:5_6
take part	wsj_0452_2:25_26
curry favor	wsj_1184_15:16_17
curry favor	wsj_1421_24:36_37
curry favor	wsj_2013_136:23_25
speak out of turn	wsj_0286_3:12_13_14_15
run the gamut	wsj_1162_25:3_4_5
run the gamut	wsj_0102_29:3_4_5
come at a price	wsj_1162_47:22_23_24_25
set one's sights on	wsj_0634_0:22_23_24_25
set one's sights on	wsj_0083_3:26_27_28_29
take time off	wsj_2161_5:29_30_31
take time off	wsj_0758_62:9_10_11
take time	wsj_1436_25:12_13
take time	wsj_1065_12:11_15
take time	wsj_0242_3:13_15
take time	wsj_0242_24:23_25
take time	wsj_1146_122:10_12
take time	wsj_0769_14:21_22
take time	wsj_0082_31:10_11
take time	wsj_0524_24:5_6
take time	wsj_1249_34:7_10
have had it	wsj_0422_13:8_9_10
go bankrupt	wsj_1646_15:13_14
take the fifth	wsj_2377_45:39_40_41
take the fifth	wsj_2377_49:24_25_26
take the fifth	wsj_2377_50:3_4_5
take the fifth	wsj_2377_51:5_6_7
show someone the door	wsj_1567_70:6_7_8_9
take into consideration	wsj_0601_19:5_7_8
feel the pinch	wsj_1469_13:11_12_13
catch one's breath	wsj_0359_9:8_9_10
catch one's breath	wsj_1335_2:25_26_27
do business	wsj_2303_14:44_45
do business	wsj_2073_5:15_18
do business	wsj_0609_6:39_41
do business	wsj_1368_4:1_2
do business	wsj_0566_16:35_36
do business	wsj_0788_32:23_24
do business	wsj_1092_13:10_11
do business	wsj_1302_62:21_22
do business	wsj_0524_66:30_31
do business	wsj_1455_59:29_30
do business	wsj_1915_68:6_9
do business	wsj_0617_6:16_17
do business	wsj_1600_60:17_18
do business	wsj_1368_0:24_25
do business	wsj_0634_13:17_18
do business	wsj_0639_1:25_26
do business	wsj_1469_39:7_8
do business	wsj_0449_23:23_24
do business	wsj_1000_10:35_36
do business	wsj_1000_11:28_29
do business	wsj_1000_16:18_19
do business	wsj_0814_40:6_7
do business	wsj_0664_38:15_16
do business	wsj_0900_8:13_14
do business	wsj_1138_3:14_15
do business	wsj_2153_33:23_24
do business	wsj_0634_20:3_4
get to one's feet	wsj_1778_120:26_27_28_29
take a chance	wsj_1569_15:7_8_9
play hardball	wsj_2372_13:6_7
hit the road	wsj_0562_14:6_7_8
find oneself	wsj_0267_83:3_4
find oneself	wsj_1094_54:22_23
find oneself	wsj_0569_1:9_10
find oneself	wsj_0186_20:10_11
find oneself	wsj_2112_42:4_5
mince words	wsj_1705_43:26_27
catch someone's eye	wsj_2276_55:6_7_8
break new ground	wsj_1264_25:16_17_18
go out of one's way	wsj_2233_2:17_18_19_20_21
go out of one's way	wsj_2413_0:22_23_24_25_26
go out of one's way	wsj_0598_23:11_12_13_14_15
go out of one's way	wsj_1317_9:15_16_17_18_19
take steps	wsj_1790_34:4_6
take steps	wsj_0415_15:20_21
take steps	wsj_1365_2:16_17
take steps	wsj_1564_20:9_11
take steps	wsj_1140_5:13_16
take steps	wsj_0156_0:32_34
take steps	wsj_0559_10:20_22
take steps	wsj_2348_10:9_11
take steps	wsj_1875_47:13_15
take steps	wsj_1252_3:23_24
take steps	wsj_0064_0:12_14
take steps	wsj_0598_17:23_26
take steps	wsj_1567_24:33_35
take steps	wsj_1825_44:22_23
take steps	wsj_1772_7:2_4
take steps	wsj_0314_36:38_39
take steps	wsj_1951_14:11_13
take steps	wsj_1065_36:10_11
take steps	wsj_0983_35:6_9
take steps	wsj_0578_27:14_15
take steps	wsj_1432_12:3_5
take steps	wsj_1270_16:6_11
take steps	wsj_1901_4:8_9
take steps	wsj_1650_7:13_16
have got	wsj_1146_171:3_5
have got	wsj_0326_9:13_15
have got	wsj_2136_14:10_12
have got	wsj_0435_3:8_9
take kindly	wsj_1057_140:18_19
throw off balance	wsj_0779_7:11_13_14
go nuts	wsj_0409_70:30_31
pay one's dues	wsj_2412_9:7_8_9
go too far	wsj_2454_12:4_5_6
go too far	wsj_2372_35:4_5_6
go too far	wsj_1698_11:28_29_30
go too far	wsj_0453_25:13_14_15
spill one's guts	wsj_1698_2:5_6_7
bring home	wsj_1847_14:10_11
pull the plug	wsj_0560_0:26_27_28
pull the plug	wsj_0458_1:6_7_9
pull the plug	wsj_1421_5:26_27_28
go to work	wsj_1367_78:27_28_29
go to work	wsj_1271_27:38_39_40
have the time	wsj_0747_16:10_11_12
hold it	wsj_0687_28:43_44
earn a living	wsj_0439_9:15_16_17
go hand in hand	wsj_0957_0:39_40_41_42
have a look	wsj_1936_12:20_21_22
clear cut	wsj_0488_15:25_27
clear cut	wsj_0439_34:20_22
clear cut	wsj_2170_12:16_18
clear cut	wsj_1875_22:14_16
sink one's teeth into	wsj_0488_2:15_16_17_18
had best	wsj_0267_60:2_3
put the brakes on	wsj_1320_0:17_18_19_20
put the brakes on	wsj_0107_6:9_10_11_12
run scared	wsj_1843_14:6_7
run scared	wsj_2428_32:16_17
have a clue	wsj_0944_34:9_10_11
take flight	wsj_1852_4:16_17
waste time	wsj_1515_8:6_8
step on the gas	wsj_1120_13:17_18_19_20
push it	wsj_2303_19:21_22
make no bones about	wsj_0629_48:14_15_16_17
let be	wsj_1397_61:8_10
let be	wsj_1936_56:2_5
could care less	wsj_0413_19:7_9_10
play games	wsj_0937_42:42_44
play games	wsj_0126_19:16_20
play games	wsj_0758_63:29_33
play games	wsj_1574_60:6_8
fall in line	wsj_1062_7:28_29_30
stab in the back	wsj_0730_11:10_12_13_14
take its toll	wsj_1391_6:17_18_19
take its toll	wsj_1320_4:7_8_9
come to mind	wsj_0290_9:21_22_23
come to mind	wsj_2407_1:4_5_6
come to mind	wsj_1564_2:21_22_23
go wild	wsj_2276_60:6_7
go wild	wsj_2205_52:10_11
take the time	wsj_0749_15:9_10_11
take the time	wsj_0749_22:19_20_21
take the time	wsj_0989_13:21_22_23
come true	wsj_0518_0:11_12
come true	wsj_2227_35:12_13
bear fruit	wsj_1591_9:32_33
bear fruit	wsj_1004_13:12_13
bear fruit	wsj_1253_15:8_9
forget it	wsj_2041_45:18_19
make sense	wsj_1623_27:8_9
make sense	wsj_1120_36:2_4
make sense	wsj_0564_50:18_19
make sense	wsj_2222_21:3_5
make sense	wsj_0359_51:15_16
make sense	wsj_1328_10:2_5
make sense	wsj_1856_74:12_14
make sense	wsj_1450_55:6_7
make sense	wsj_2111_40:19_20
make sense	wsj_0814_7:17_20
make sense	wsj_1571_11:17_19
make sense	wsj_0989_42:26_28
make sense	wsj_0689_11:9_12
make sense	wsj_0989_30:21_23
make sense	wsj_1850_4:7_8
make sense	wsj_1874_19:4_5
make sense	wsj_2125_6:27_28
make sense	wsj_0112_26:18_21
make sense	wsj_0989_43:27_28
speak volumes	wsj_0946_1:2_3
look alike	wsj_2418_15:10_12
look alike	wsj_2418_16:31_33
go a long way	wsj_1131_37:14_15_16_17
go a long way	wsj_0445_20:6_7_8_9
go a long way	wsj_0087_20:7_8_9_10
go a long way	wsj_2012_9:16_17_18_19
go a long way	wsj_2354_5:8_9_10_11
go a long way	wsj_0609_19:23_24_25_26
go a long way	wsj_1572_42:6_7_8_9
call into question	wsj_0360_17:5_6_7
call into question	wsj_0942_8:11_12_13
make use	wsj_0300_36:3_5
make use	wsj_0186_15:2_4
make use	wsj_1455_54:2_4
make use	wsj_0405_20:10_11
make use	wsj_0405_18:6_8
make use	wsj_0934_27:12_13
make use	wsj_0296_63:9_10
make use	wsj_1600_38:4_8
cast one's vote	wsj_1846_26:25_26_27
bark up the wrong tree	wsj_0094_2:3_4_5_6_7
make good	wsj_0994_80:14_16
make good	wsj_0749_13:24_26
make good	wsj_0773_9:7_8
make good	wsj_0604_7:32_33
breathe a sigh of relief	wsj_2036_7:4_5_7_8_9
breathe a sigh of relief	wsj_0123_13:4_5_7_8_9
breathe a sigh of relief	wsj_2205_7:17_18_19_20_21
get one's act together	wsj_1261_12:11_12_13_14
have fun	wsj_2112_37:2_3
have fun	wsj_1984_23:4_5
have fun	wsj_0257_17:13_14
have fun	wsj_1790_11:28_29
get the better of	wsj_0590_17:4_5_6_7
have a say	wsj_0765_60:10_11_12
hold sway	wsj_1936_36:9_10
make a mockery of	wsj_0518_10:6_7_8_9
roll the dice	wsj_0273_12:6_7_8
draw the line	wsj_2229_39:18_19_20
draw the line	wsj_1137_11:19_20_22
draw the line	wsj_0596_33:10_11_12
lay one's cards on the table	wsj_1163_6:20_21_22_23_24_25
take to the streets	wsj_1549_13:16_17_18_19
take to the streets	wsj_1875_16:4_5_6_7
get married	wsj_1473_15:19_20
feel sorry for	wsj_0051_13:9_10_11
feel sorry for	wsj_0415_3:3_4_5
take action	wsj_1750_0:20_21
take action	wsj_1357_1:6_8
take action	wsj_0767_6:3_6
take action	wsj_0787_15:2_4
take action	wsj_0771_1:20_21
take action	wsj_0779_32:2_5
take action	wsj_0082_36:5_6
take action	wsj_1102_22:24_26
take action	wsj_1750_4:22_23
take action	wsj_0103_6:33_35
take action	wsj_0788_35:25_29
take action	wsj_1044_34:7_9
take action	wsj_0613_1:29_31
take action	wsj_1391_17:7_9
take action	wsj_1103_9:10_12
make do	wsj_0049_35:13_16
make do	wsj_0257_3:17_19
die hard	wsj_1603_5:10_11
come to a head	wsj_1506_26:3_4_5_6
come to a head	wsj_0051_23:9_10_11_12
cut one's losses	wsj_0909_56:3_4_5
cut and run	wsj_0909_56:3_6_7
loom large	wsj_0082_0:10_12
think twice	wsj_0485_17:6_7
think twice	wsj_1635_9:3_4
think twice	wsj_2170_30:5_6
think twice	wsj_0267_25:10_11
give voice	wsj_2454_18:57_60
take place	wsj_0003_28:10_11
take place	wsj_0037_33:8_9
take place	wsj_0097_7:16_17
take place	wsj_2377_29:26_27
take place	wsj_0426_24:16_17
take place	wsj_0524_37:3_4
take place	wsj_0524_45:21_22
take place	wsj_0186_28:36_37
take place	wsj_2351_31:16_17
take place	wsj_1407_3:4_5
take place	wsj_1388_24:4_5
take place	wsj_1286_60:7_8
take place	wsj_0515_13:17_19
take place	wsj_1554_52:16_17
take place	wsj_1464_32:19_20
take place	wsj_0656_8:7_8
take place	wsj_2084_2:19_20
take place	wsj_1504_15:11_12
take place	wsj_1932_29:6_7
take place	wsj_0499_2:23_27
take place	wsj_1669_4:4_5
take place	wsj_0277_20:15_17
take place	wsj_1700_19:35_36
take place	wsj_1698_21:11_12
take place	wsj_0934_21:10_11
take place	wsj_0656_2:4_5
take place	wsj_2265_23:12_13
take place	wsj_1612_4:6_7
take place	wsj_1500_22:28_29
take place	wsj_1120_61:13_14
take place	wsj_2306_11:18_19
take place	wsj_0174_29:17_18
take place	wsj_1148_7:9_10
take place	wsj_0410_1:11_12
take place	wsj_1870_72:16_17
take place	wsj_0671_49:40_41
take place	wsj_0771_34:21_22
take place	wsj_0283_3:24_25
take place	wsj_0142_29:4_5
take place	wsj_2161_10:8_9
take place	wsj_0186_32:2_3
bear the brunt	wsj_1469_12:11_12_13
come and go	wsj_1263_11:36_37_38
come and go	wsj_0604_3:6_7_8
run out of steam	wsj_1970_16:20_21_22_23
bridge the gap	wsj_2454_29:8_9_11
get carried away	wsj_0771_8:3_4_5
make a mistake	wsj_0044_86:5_6_8
make a mistake	wsj_0765_97:30_31_33
come to a close	wsj_1253_5:14_15_16_17
turn loose	wsj_0687_11:11_12
turn loose	wsj_2402_8:1_2
keep track	wsj_1367_16:2_3
keep track	wsj_0044_44:17_19
keep track	wsj_1387_22:9_11
come to power	wsj_0629_16:8_9_10
come to power	wsj_0629_23:4_5_6
change one's mind	wsj_0922_15:39_40_41
change one's mind	wsj_1698_18:22_23_24
hit home	wsj_1935_1:19_20
hit home	wsj_1935_2:8_9
break someone's heart	wsj_0044_92:4_5_6
make waves	wsj_2054_20:3_4
fall due	wsj_1206_19:34_35
fall due	wsj_0997_16:13_14
fall due	wsj_1469_51:26_27
take a gamble	wsj_1635_74:18_19_21
get there	wsj_1778_101:38_39
get there	wsj_0749_8:57_58
get there	wsj_0349_59:14_16
get there	wsj_1128_6:5_6
get there	wsj_1618_3:27_28
get there	wsj_1803_39:36_37
get there	wsj_0989_34:31_32
play second fiddle	wsj_1432_6:22_23_24
bring home the bacon	wsj_1695_13:34_35_36_37
set in motion	wsj_0043_3:7_8_9
set in motion	wsj_1147_11:4_5_6
set in motion	wsj_0093_0:13_14_15
set in motion	wsj_0819_8:7_11_12
set in motion	wsj_1143_32:7_8_9
try one's hand	wsj_0554_45:26_27_28
try one's hand	wsj_1447_0:25_26_27
shake one's head	wsj_2111_29:21_22_23
shake one's head	wsj_1435_6:3_4_5
play someone like a violin	wsj_2013_129:3_6_11_12_13
get it	wsj_2013_89:16_17
get it	wsj_1267_32:20_21
get it	wsj_1464_67:14_15
read lips	wsj_1053_1:8_12
set the stage	wsj_2229_18:11_12_13
set the stage	wsj_1043_10:13_14_15
set the stage	wsj_1696_4:16_17_18
have words	wsj_2384_0:21_24
go wrong	wsj_2229_1:5_6
go wrong	wsj_0936_19:23_24
go wrong	wsj_1760_35:8_10
go wrong	wsj_1307_4:2_3
go wrong	wsj_1057_15:23_24
go wrong	wsj_0984_22:11_12
go wrong	wsj_2206_0:37_38
go wrong	wsj_2206_0:40_41
go wrong	wsj_0359_8:19_20
go public	wsj_0598_13:10_11
go public	wsj_0484_5:4_5
go public	wsj_0725_87:29_30
go public	wsj_1174_14:11_12
go public	wsj_0984_1:20_21
go public	wsj_0591_28:16_17
turn to dust	wsj_1473_7:22_23_24
keep a close watch on	wsj_0090_18:3_4_5_6_7
keep a close watch on	wsj_2043_1:6_7_8_9_10
keep a close watch on	wsj_1903_12:16_17_18_19_20
live in poverty	wsj_1815_14:8_9_10
live in poverty	wsj_1924_21:19_20_21
live in poverty	wsj_1815_0:15_16_17
set straight	wsj_0112_53:4_6
wish someone well	wsj_1529_0:43_45_46
keep the baby	wsj_0972_23:25_26_27
dig deep	wsj_2418_55:4_7
dig deep	wsj_0414_30:3_4
get one's hands on	wsj_0108_34:18_19_20_21
get one's hands on	wsj_0278_26:14_15_16_17
buy it	wsj_2313_6:17_18
buy it	wsj_2265_69:23_24
buy it	wsj_1574_19:35_36
buy it	wsj_1574_83:3_4
buy it	wsj_2153_35:19_20
buy it	wsj_1844_4:30_31
buy it	wsj_1267_32:9_10
buy it	wsj_2124_3:9_10
buy it	wsj_0305_8:8_9
short circuit	wsj_1643_25:40_42
turn a profit	wsj_1982_7:6_7_8
turn a profit	wsj_0126_23:17_18_20
turn a profit	wsj_0305_39:17_18_20
turn a profit	wsj_1935_11:12_13_15
turn a profit	wsj_0604_15:22_23_24
set the world on fire	wsj_2040_13:18_19_20_21_22
call the shots	wsj_0719_36:14_15_16
call the shots	wsj_0203_9:22_23_24
turn the tide	wsj_2053_36:21_22_23
turn the tide	wsj_0286_54:10_11_12
go awry	wsj_0286_13:22_24
never mind	wsj_1927_13:4_5
never mind	wsj_1567_90:1_2
never mind	wsj_1856_4:1_2
never mind	wsj_1705_27:1_2
let off steam	wsj_2369_24:37_38_39
grind to a halt	wsj_1172_5:15_16_17_18
grind to a halt	wsj_2169_3:9_10_11_12
grind to a halt	wsj_2428_1:2_3_4_5
cool it	wsj_1000_15:13_14
swap places	wsj_0089_29:19_20
add insult to injury	wsj_1379_2:14_15_16_17
weather the storm	wsj_1623_86:5_6_7
hit the skids	wsj_1857_34:14_15_16
live with oneself	wsj_1397_41:19_20_21
say no	wsj_0102_40:16_18
say no	wsj_1065_36:21_22
say no	wsj_0618_0:18_19
say no	wsj_0990_8:24_25
say no	wsj_1671_49:4_5
let someone go	wsj_2112_34:3_4_5
get wind of	wsj_1307_1:37_38_39
get wind of	wsj_1506_22:13_14_16
run deep	wsj_0210_22:7_8
shoot first and ask questions later	wsj_1761_27:18_19_20_21_22_23
turn the screw	wsj_1849_46:35_37_38
go to town	wsj_0416_19:9_10_12
lose ground	wsj_1767_7:31_32
lose ground	wsj_1996_9:8_9
lose ground	wsj_0524_8:22_23
march to one's own drummer	wsj_1563_14:14_15_16_17_18
come to light	wsj_1019_7:20_21_22
come to light	wsj_1495_4:2_3_4
take into account	wsj_1691_19:4_5_6
take into account	wsj_1760_66:19_20_21
take into account	wsj_2110_9:4_7_8
take into account	wsj_2427_5:21_22_23
take into account	wsj_2097_2:1_2_3
take into account	wsj_0524_52:2_3_4
take into account	wsj_2044_35:25_28_29
play it safe	wsj_0978_18:16_17_18
pay the price	wsj_1139_0:23_24_25
slam dunk	wsj_1963_7:11_13
give weight	wsj_1795_32:15_17
give weight	wsj_0964_3:15_17
give weight	wsj_1795_36:9_11
make hay	wsj_0082_18:3_6
leave in	wsj_1829_26:30_32
leave in	wsj_1317_28:40_43
leave in	wsj_0403_1:15_17
leave in	wsj_1263_17:22_23
leave in	wsj_1624_59:19_22
leave in	wsj_1996_42:5_8
leave in	wsj_0214_32:18_20
leave in	wsj_1302_73:17_20
leave in	wsj_0552_1:26_30
leave in	wsj_1298_2:10_20
leave in	wsj_2102_12:4_7
leave in	wsj_1936_40:11_13
leave in	wsj_0186_30:12_14
leave in	wsj_1019_32:11_12
beat it	wsj_1600_8:34_35
find work	wsj_1367_75:4_5
find work	wsj_0799_11:5_8
do the right thing	wsj_1572_42:16_17_18_19
put a damper on	wsj_1123_1:18_19_20_21
let alone	wsj_1366_0:13_14
let alone	wsj_0112_24:27_28
let alone	wsj_0426_21:17_18
let alone	wsj_0937_5:20_21
let alone	wsj_0559_3:18_19
hit the rocks	wsj_1139_16:4_5_6
take matters into one's own hands	wsj_2454_23:31_32_33_34_35_36
keep pace	wsj_0090_15:25_26
keep pace	wsj_1815_26:11_12
keep pace	wsj_0012_0:5_6
keep pace	wsj_1593_0:11_12
keep pace	wsj_1646_8:14_15
keep pace	wsj_0968_6:7_8
keep pace	wsj_1250_35:16_17
buy cotton	wsj_1026_38:28_29
steal a march	wsj_0071_20:8_9_10
have reason	wsj_0450_12:7_8
have reason	wsj_1849_12:8_10
have reason	wsj_0409_1:3_7
have reason	wsj_0267_68:13_14
have reason	wsj_1446_12:9_10
have reason	wsj_2449_7:26_31
have reason	wsj_1375_30:3_5
have reason	wsj_0655_21:21_23
have reason	wsj_0439_2:19_21
have reason	wsj_2351_53:11_12
fall victim	wsj_1107_2:22_23
take turns	wsj_1617_26:14_15
hit it big	wsj_0909_65:18_19_20
take a back seat	wsj_1600_0:14_15_16_17
pay attention	wsj_0965_7:3_5
pay attention	wsj_2043_7:12_14
pay attention	wsj_0142_8:7_9
pay attention	wsj_1564_15:13_16
pay attention	wsj_1316_2:6_8
pay attention	wsj_0082_12:13_16
pay attention	wsj_0742_12:18_19
pay attention	wsj_1695_35:26_28
pay attention	wsj_1695_21:9_12
pay attention	wsj_0277_16:28_30
take the lead	wsj_1495_15:11_12_13
take the lead	wsj_1939_4:6_7_8
take the lead	wsj_2025_9:24_25_26
take the lead	wsj_2153_41:6_7_9
take it easy	wsj_0596_7:12_13_14
corner the market	wsj_1611_2:26_27_32
corner the market	wsj_0537_9:62_63_65
have one's way	wsj_0984_1:10_11_12
have one's way	wsj_0955_23:9_10_11
have one's way	wsj_1026_5:10_11_12
have one's way	wsj_1583_15:4_5_6
have one's way	wsj_1455_23:4_5_6
hold true	wsj_1623_18:3_4
hold true	wsj_2347_2:4_5
give a damn	wsj_1388_3:11_12_13
catch fire	wsj_1376_35:14_15
keep in mind	wsj_0911_9:1_2_3
keep in mind	wsj_0985_8:5_8_9
prove oneself	wsj_1388_18:7_8
clean up one's act	wsj_0309_23:20_21_22_24
fall on deaf ears	wsj_1846_16:6_7_8_9
come into play	wsj_1391_10:17_18_19
twiddle one's thumbs	wsj_0776_46:8_9_10
get down to business	wsj_0041_12:29_30_31_32
take root	wsj_1387_17:25_26
tighten one's belt	wsj_0524_9:22_23_24
